text,sentiValue,label
uh born downtown los angeles,-0.0048076923076923,0
love l_a love traffic four five love beach live near beach love there much love lo love weather,0.1185064935064935,1
uh guess visiting family destination,-0.05078125,0
uh last flew cedar rapid visit friend,0.0455555555555555,1
couple week im flying back,-0.01875,0
february eleventh see he old friend,0.0421875,1
im pretty outgoing talk people enjoy talking people talk people airport,0.0277777777777777,1
um garden little bit read little bit watch t_v im basketball fan go beach weather nice go pool,0.0156808469308469,1
uh annoying people rude people people drive,0.0045454545454545,0
oh im alright get mad awhile,0.0416666666666666,1
oh probably daughter shes twenty one almost twenty two uh shes probably life college come home weekend probably room probably mess fight weve year,0.0079431216931216,0
better dont live together time though,0.1809454545454545,1
guess making right decision like start started little education right school go right activity um,0.0519067242281528,1
everything kid greatest joy life love much,0.2206845238095238,1
um enriched fulfilled kid little see thing eye exciting wanna share everything,0.0501157407407407,1
who financial analyst daughter college shes liberal study major shes gonna teacher,0.078515625,1
dream job wow thats hard um,-0.0528846153846153,0
dont know like job,0.0030594405594405,0
good like people enjoy,0.3460317460317461,1
uh son told theyre called teacup generation theyre fragile laughter,-0.0126488095238095,0
new boyfriend thing going,0.0047979797979797,0
really great theyre going laughter great okay,0.1941666666666666,1
oh dont know year,0.0511363636363636,1
didnt feel well couldnt didnt feel right couldnt pull,0.1625560439560439,1
oh sad lack energy didnt really wasnt really motivated didnt really wasnt really happy self,0.1616071428571428,1
well many change cha still dont feel great good talk someone tell feel,0.1113349983349983,1
even get something chest,0.0034722222222222,0
tired sad depressed blue,-0.2369791666666666,0
im happy dont feel good im happy,0.4393315018315018,1
stay st dont stay stay dont go friend much used,0.0413510101010101,1
hard cope thing easy know mundane thing difficult,-0.0939867424242424,0
well around kid fun,0.1314807692307692,1
oh went son son daughterinlaw daughter went hawaiian food got together always fun get together got together house christmas enjoyed getting together,0.0236111111111111,1
uh take better care health guess,0.1633928571428571,1
dont know dont know,0.1022727272727272,1
mm well daughter pretty positive upbeat,0.2109685314685314,1
uh parent theyre gone pretty positive,0.0201704545454545,1
suppose going trip canada daughter memorable,-0.0191964285714285,0
uh flew detroit best friend life stayed went drove detroit canada niagara fall,0.0655546536796536,1
three girl daughter think dont know third fourth grade something like fun u get together thing,0.0262701313837677,1
laughter exactly like outgoing outspoken tell like,0.0243055555555555,1
oh dont know three four week ago,0.034090909090909,1
well say feeling attributed weather dont like cold weather im comfortable,0.0203371212121212,1
whenever weather change sorta get,0.0249999999999999,1
im uh care everyone,0.0,0
im kind compassionate person sympathy everyone,0.2083333333333333,1
ill reach someone see store anywhere need help,-0.0069444444444444,0
good people theyve turned,0.2043650793650794,1
like weather like people,0.0,0
dont like traffic uh thats primarily,-0.015625,0
uh topic really interested subject,0.15625,1
like able write want write uh right write thing im really interested,0.1329861111111111,1
like uh article uh,0.0,0
think pretty easy dont know easy laughter,0.0429535742035742,1
mm depends situation im around first meet people shy uh someone ive known outgoing,0.0156439393939393,1
um ill lay try sort like deep breathing,-0.0353009259259259,0
uh maybe something thats kinda fun mind numbing like watch t_v,-0.0276785714285714,0
im pretty good dont really let anger show much um,0.1173469387755102,1
im like dont fiery temper anything like im pretty rational,-0.0486111111111111,0
actually cant remember last time argued someone cause long,0.0226996527777777,1
guess feel guilty fact dont talk grandparent much,0.0054258241758241,0
um im close grandparent really anyone else family,0.11875,1
uh cause basically sort raised uh uh parent,0.1256944444444444,1
cant really think one,0.2548076923076923,1
guess uh sister died really traumatizing,-0.0727272727272727,0
guess hardest decision ive ever make deciding whether divorce husband,-0.0270727040816326,0
uh werent getting along reason stay married still felt like stick,-0.0091765873015873,0
mean hard time uh,-0.0029761904761904,0
made right decision think,0.1335262951334379,1
uh grandmother positive influence young age,0.0545454545454545,1
um shes strong powerful,0.1625,1
uh sort staunch character,0.1163194444444444,1
uh really super easy um,0.2152777777777777,1
sort mean probably fault go bed late,-0.040625,0
last night hanging friend like really good time sharing story laughing stuff,0.0842487373737373,1
